From,To,FlightNumber,Departs,Arrives,MainCabinPrice,FirstClassPrice
SEA,LAS,1000,6:00 PM,8:00 PM,100.00,200.00
SEA,LAS,1001,7:00 PM,9:00 PM,110.00,190.00
SEA,LAS,1002,4:00 PM,6:00 PM,99.00,175.00
SEA,LAS,1003,7:00 AM,9:00 AM,132.00,214.00
SEA,LAX,1000,6:00 PM,8:00 PM,100.00,200.00
SEA,LAX,1001,7:00 PM,9:00 PM,110.00,190.00
SEA,LAX,1002,4:00 PM,6:00 PM,99.00,175.00
SEA,LAX,1003,7:00 AM,9:00 AM,132.00,214.00
SEA,PHX,1000,6:00 PM,8:00 PM,100.00,200.00
SEA,PHX,1001,7:00 PM,9:00 PM,110.00,190.00
SEA,PHX,1002,4:00 PM,6:00 PM,99.00,175.00
SEA,PHX,1003,7:00 AM,9:00 AM,132.00,214.00
LAS,SEA,1000,6:00 PM,8:00 PM,100.00,200.00
LAS,SEA,1001,7:00 PM,9:00 PM,110.00,190.00
LAS,SEA,1002,4:00 PM,6:00 PM,99.00,175.00
LAS,SEA,1003,7:00 AM,9:00 AM,132.00,214.00
LAS,LAX,1000,6:00 PM,8:00 PM,100.00,200.00
LAS,LAX,1001,7:00 PM,9:00 PM,110.00,190.00
LAS,LAX,1002,4:00 PM,6:00 PM,99.00,175.00
LAS,LAX,1003,7:00 AM,9:00 AM,132.00,214.00
LAS,PHX,1000,6:00 PM,8:00 PM,100.00,200.00
LAS,PHX,1001,7:00 PM,9:00 PM,110.00,190.00
LAS,PHX,1002,4:00 PM,6:00 PM,99.00,175.00
LAS,PHX,1003,7:00 AM,9:00 AM,132.00,214.00
LAX,SEA,1000,6:00 PM,8:00 PM,100.00,200.00
LAX,SEA,1001,7:00 PM,9:00 PM,110.00,190.00
LAX,SEA,1002,4:00 PM,6:00 PM,99.00,175.00
LAX,SEA,1003,7:00 AM,9:00 AM,132.00,214.00
LAX,LAS,1000,6:00 PM,8:00 PM,100.00,200.00
LAX,LAS,1001,7:00 PM,9:00 PM,110.00,190.00
LAX,LAS,1002,4:00 PM,6:00 PM,99.00,175.00
LAX,LAS,1003,7:00 AM,9:00 AM,132.00,214.00
LAX,PHX,1000,6:00 PM,8:00 PM,100.00,200.00
LAX,PHX,1001,7:00 PM,9:00 PM,110.00,190.00
LAX,PHX,1002,4:00 PM,6:00 PM,99.00,175.00
LAX,PHX,1003,7:00 AM,9:00 AM,132.00,214.00
PHX,SEA,1000,6:00 PM,8:00 PM,100.00,200.00
PHX,SEA,1001,7:00 PM,9:00 PM,110.00,190.00
PHX,SEA,1002,4:00 PM,6:00 PM,99.00,175.00
PHX,SEA,1003,7:00 AM,9:00 AM,132.00,214.00
PHX,LAS,1000,6:00 PM,8:00 PM,100.00,200.00
PHX,LAS,1001,7:00 PM,9:00 PM,110.00,190.00
PHX,LAS,1002,4:00 PM,6:00 PM,99.00,175.00
PHX,LAS,1003,7:00 AM,9:00 AM,132.00,214.00
PHX,LAX,1000,6:00 PM,8:00 PM,100.00,200.00
PHX,LAX,1001,7:00 PM,9:00 PM,110.00,190.00
PHX,LAX,1002,4:00 PM,6:00 PM,99.00,175.00
PHX,LAX,1003,7:00 AM,9:00 AM,132.00,214.00
